Text, Language
"Tôi thích đọc sách vào buổi tối", Vietnamese
"Trời hôm nay rất đẹp", Vietnamese
"Cô ấy đang học bài trong phòng", Vietnamese
"Chúng ta nên ăn nhiều rau xanh", Vietnamese
"Anh ấy là một người rất chăm chỉ", Vietnamese
"Tôi vừa xem một bộ phim hay", Vietnamese
"Cuộc sống luôn đầy những bất ngờ", Vietnamese
"Học tập là con đường dẫn đến thành công", Vietnamese
"Bạn có thích nghe nhạc không?", Vietnamese
"Tôi muốn đi du lịch vào mùa hè", Vietnamese
"Gia đình là điều quan trọng nhất", Vietnamese
"Thời gian trôi qua rất nhanh", Vietnamese
"Tôi đang học tiếng Anh mỗi ngày", Vietnamese
"Bạn bè luôn giúp đỡ nhau trong khó khăn", Vietnamese
"Thành phố này rất nhộn nhịp", Vietnamese
"Tôi thích uống cà phê vào buổi sáng", Vietnamese
"Cuốn sách này rất thú vị", Vietnamese
"Chúng ta nên giữ gìn môi trường", Vietnamese
"Cô giáo giảng bài rất dễ hiểu", Vietnamese
"Tôi đã hoàn thành bài tập rồi", Vietnamese
"Trời đang mưa rất to", Vietnamese
"Anh ấy đang chơi bóng đá", Vietnamese
"Tôi thích ăn phở", Vietnamese
"Cuộc sống đôi khi rất khó khăn", Vietnamese
"Học sinh cần chăm chỉ học tập", Vietnamese
"Tôi đang nghe một bài hát hay", Vietnamese
"Mẹ tôi nấu ăn rất ngon", Vietnamese
"Tôi muốn trở thành một người thành công", Vietnamese
"Hôm nay tôi rất vui", Vietnamese
"Bạn nên ngủ đủ giấc", Vietnamese
"Tôi thích xem phim hoạt hình", Vietnamese
"Chúng ta cần bảo vệ động vật", Vietnamese
"Anh ấy đang đọc báo", Vietnamese
"Tôi thích đi dạo vào buổi tối", Vietnamese
"Cuộc sống không phải lúc nào cũng dễ dàng", Vietnamese
"Tôi đang học bài thi", Vietnamese
"Bạn có thể giúp tôi không?", Vietnamese
"Tôi yêu quê hương của mình", Vietnamese
"Trời hôm nay khá lạnh", Vietnamese
"Tôi thích nghe nhạc nhẹ", Vietnamese
"Chúng ta cần tiết kiệm nước", Vietnamese
"Tôi đang viết một bức thư", Vietnamese
"Anh ấy là bạn thân của tôi", Vietnamese
"Tôi thích ăn trái cây", Vietnamese
"Học tập giúp chúng ta mở mang kiến thức", Vietnamese
"Tôi vừa mua một cuốn sách mới", Vietnamese
"Bạn nên tập thể dục thường xuyên", Vietnamese
"Tôi thích đi biển", Vietnamese
"Cuộc sống cần có mục tiêu", Vietnamese
"Tôi đang chuẩn bị bài thuyết trình", Vietnamese
"Anh ấy đang học lái xe", Vietnamese
"Tôi thích xem tin tức", Vietnamese
"Chúng ta cần sống có trách nhiệm", Vietnamese
"Tôi rất thích màu xanh", Vietnamese
"Bạn có thể nói lại không?", Vietnamese
"Tôi đang học cách nấu ăn", Vietnamese
"Trời hôm nay nhiều mây", Vietnamese
"Tôi thích đọc truyện tranh", Vietnamese
"Cuộc sống luôn thay đổi", Vietnamese
"Tôi đang làm việc nhóm", Vietnamese
"Anh ấy rất tốt bụng", Vietnamese
"Tôi thích chụp ảnh", Vietnamese
"Chúng ta cần tôn trọng người khác", Vietnamese
"Tôi đang học toán", Vietnamese
"Bạn có rảnh không?", Vietnamese
"Tôi thích uống trà", Vietnamese
"Cuộc sống cần sự cân bằng", Vietnamese
"Tôi đang nghe giảng", Vietnamese
"Anh ấy rất thông minh", Vietnamese
"Tôi thích chơi game", Vietnamese
"Chúng ta nên giúp đỡ người nghèo", Vietnamese
"Tôi đang dọn phòng", Vietnamese
"Bạn có thể cho tôi mượn sách không?", Vietnamese
"Tôi thích xem phim kinh dị", Vietnamese
"Cuộc sống luôn có hy vọng", Vietnamese
"Tôi đang học lập trình", Vietnamese
"Anh ấy rất hài hước", Vietnamese
"Tôi thích đi xe đạp", Vietnamese
